10000,20000,30000,40000,50000,60000,70000,80000,90000,100000,
6998139,6994437,7005404,6991354,7009396,6994724,7006994,7011859,7009513,7013763,
6067814,6067300,6060972,6068238,6057814,6048772,6058556,6065305,6064349,6062375,
5650260,5641178,5668130,5653798,5633646,5661035,5663399,5484694,5239576,5548458,
5279262,5146999,5346149,5300171,5357088,5228409,5285408,5271268,5252538,5237875,
5015681,4977215,4990170,4963225,5005959,4988846,5003775,4995655,4999062,5016599,
4627739,4602556,4647159,4625517,4616273,4625064,4617466,4629240,4611725,4648739,
4242770,4254471,4252865,4236726,4255634,4234606,4236013,4247398,4230693,4233308,
3958859,3940230,3955599,3959081,3968592,3938123,3927871,3957002,3965497,3950243,
3691794,3659040,3671650,3677108,3697846,3657482,3654410,3643569,3657639,3666624,
3295258,3279593,3308910,3282323,3307452,3267866,3272273,3272964,3292036,3281952,
